ID,Código de Barras,Nombre,Precio Venta ($),Precio Compra ($),Categoría
864,,tunja grande,2.00,1.60,Panaderia Mario
204,,tunja mario,1.88,1.50,Panaderia Mario
494,,papel alisof paquete 215 h,0.70,0.55,Papel De Baño
556,,papel alisof unidad,0.26,0.16,Papel De Baño
429,,papel h europapel 215 h,0.77,0.57,Papel De Baño
157,,papel luciano,0.71,0.57,Papel De Baño
156,,papel rosal 215 h verde,0.95,0.77,Papel De Baño
561,,papel rosal naranja plus,2.85,2.08,Papel De Baño
596,,papel rosal verde unidad,0.34,0.32,Papel De Baño
495,,rosal 180 h rojo,1.10,0.98,Papel De Baño
158,,servilletas,1.24,0.90,Papel De Baño
962,,Pasta Mary 500 gr larga,0.87,0.68,Pasta
967,,Pasta larga Della Nonna 1kilo,1.59,1.40,Pasta
423,,pasta corta especial,1.74,1.54,Pasta
424,,pasta larga especial,1.47,1.22,Pasta
147,,pañales G,4.10,4.37,Pañales
148,,pañales M,4.00,3.65,Pañales
149,,pañales P,3.73,3.14,Pañales
146,,pañales XG,4.10,3.42,Pañales
940,,pañales xg y g detallado,0.28,0.20,Pañales
973,,Colador de cafe,0.31,0.20,Plasticos De Cocina
848,,colador de pasta,1.77,1.40,Plasticos De Cocina
844,,envase lonchera niño,1.77,1.43,Plasticos De Cocina
847,,jarra de plastico 1 L,2.26,1.91,Plasticos De Cocina
925,,Limpiador Mr Clean,1.41,1.16,Productos De Limpieza
108,,brisol,2.65,2.14,Productos De Limpieza
110,,cera,3.17,2.67,Productos De Limpieza
172,,cloro,1.30,0.35,Productos De Limpieza
924,,cloro Mr Clean,1.28,1.12,Productos De Limpieza
107,,jabon morado,2.71,2.21,Productos De Limpieza
109,,limpia poceta,2.14,1.37,Productos De Limpieza
851,,queso amarillo Mi Vallesito,15.00,11.60,Quesos
483,,queso churuguara,6.48,5.30,Quesos
420,,queso pecorino 40 gr,2.46,2.10,Quesos
968,,Brillo de alambre ultra,0.40,0.26,Quincalla
969,,Esponja Aliclean,0.33,0.20,Quincalla
507,,bolsa grande 30 kilos,0.11,0.07,Quincalla
129,,bolsa negra,0.38,0.21,Quincalla
501,,bombillo led america 20 w,1.00,0.76,Quincalla
132,,cepillo barrer jumbo,4.20,3.64,Quincalla
136,,cepillo dental maksim,0.67,0.43,Quincalla
555,,esponja de alambre aliclean,0.40,0.22,Quincalla
493,,esponja izy,1.20,0.95,Quincalla
390,,hojilla unidad,0.15,0.09,Quincalla
143,,pega loca astro,0.49,0.21,Quincalla
135,,pilas AA Y AAA,0.60,0.28,Quincalla
222,,plagatox,0.46,0.30,Quincalla
138,,prestobarba dorco,0.32,0.19,Quincalla
137,,prestobarba max,0.36,0.20,Quincalla
145,,reflector led con socate,2.00,1.09,Quincalla
139,,resistencia o caracol,1.78,1.27,Quincalla
141,,velas,0.15,0.09,Quincalla
140,,yesquero,0.67,0.30,Quincalla
744,,Big cola unid,1.08,0.80,Refrescos
832,,Soda liquida 400ml,0.64,0.55,Refrescos
603,,chinoto 1.5 litros,1.13,0.78,Refrescos
602,,chinoto 2 litros,1.28,1.01,Refrescos
738,,coca coca bombita uni,0.82,0.65,Refrescos
56,,coca cola 1.25L (R) uni,1.17,0.75,Refrescos
54,,coca cola 1.5L uni,1.59,1.16,Refrescos
55,,coca cola 1L uni,1.10,0.83,Refrescos
53,,coca cola 2 L unidad,1.72,1.38,Refrescos
513,,fanta 1 litro,1.00,0.73,Refrescos
425,,fanta sabores 1.5 litros,1.21,0.83,Refrescos
487,,fanta sabores 2 litros,1.40,1.00,Refrescos
605,,frescolita 1 litro,1.00,0.63,Refrescos
584,,frescolita 1.5 lit,1.21,0.80,Refrescos
604,,frescolita 2 litros,1.40,1.00,Refrescos
786,,gatorade,1.98,1.54,Refrescos
653,,golden 2 litros,1.40,1.00,Refrescos
560,,golden sabores 1 litro,1.00,0.80,Refrescos
337,,golden sabores 1.5 litros,1.21,0.83,Refrescos
862,,jugo fruton 400 ml,0.68,0.40,Refrescos
57,,malta 1.5L,2.10,1.70,Refrescos
58,,malta botellita,0.73,0.46,Refrescos
486,,pepsi 1.5 litro,1.35,1.08,Refrescos
785,,power max,0.58,0.40,Refrescos
59,,refresco retornable 350 ml,0.77,0.50,Refrescos
52,,sun cola 2L,1.03,0.83,Refrescos
211,,sun cola 400 ml,0.54,0.32,Refrescos
283,,sal Ensal,0.55,0.33,Sal
926,,Mostaza Fritz 160 gr,1.20,1.03,Salsas
984,,Salsa Amatriciana Fritz 310 gr,2.28,1.90,Salsas
982,,Salsa BBQ Fritz 290 gr,2.84,2.47,Salsas
983,,Salsa Napolitana Fritz 310 gr,2.80,2.47,Salsas
978,,Salsa de tomate Real 397 gr,1.74,1.47,Salsas
849,,base para salsa ROROS sobre,1.97,1.61,Salsas
760,,mostaza fritz 250 g,3.08,2.67,Salsas
800,,salsa La Pastora 370 gr,1.31,1.12,Salsas
470,,salsa boloñesa fritz 310 gr,2.10,1.71,Salsas
468,,salsa cheddar fritz 240 g,3.92,3.42,Salsas
311,,salsa china de ajo,1.60,1.11,Salsas
535,,salsa china de soya,1.40,1.03,Salsas
447,,salsa de ajo tiquire 150 ml,1.65,1.37,Salsas
684,,salsa de tocineta fritz 240 gr,3.79,3.37,Salsas
878,,salsa de tomate  fritz 165 gr,1.00,0.83,Salsas
258,,salsa de tomate la giralda,1.87,1.55,Salsas
225,,salsa fritz sabores 145 g,1.80,1.57,Salsas
612,,salsa inglesa china,1.47,1.13,Salsas
14,,salsa inglesa reina,1.00,1.00,Salsas
683,,salsa maiz fritz 240 gr,4.15,3.74,Salsas
312,,salsa pampero 397 gr,2.10,1.74,Salsas
471,,salsa para pizza fritz 310 gr,1.91,1.53,Salsas
759,,salsa picante fritz 250 g,2.85,2.40,Salsas
531,,salsa roros bbq,2.22,2.00,Salsas
467,,salsa sabor a maiz 145 gr,2.20,1.60,Salsas
454,,salsa tiquire 397 gr,1.63,1.34,Salsas
260,,agua oxigenada lovia,1.00,0.65,Shampoo Y Desodorante
128,,nutribella,0.70,0.46,Shampoo Y Desodorante
193,,shampoo baby finger peque,1.20,0.93,Shampoo Y Desodorante
120,,shampoo head &  shoulder,0.43,0.29,Shampoo Y Desodorante
544,,shampoo pantene tira,0.50,0.60,Shampoo Y Desodorante
504,,suavisante alive 200ml,0.70,0.52,Suavisantes
398,,suavisante alive 500ml,1.73,1.55,Suavisantes
101,,suavitel 180 ml,0.77,0.63,Suavisantes
876,,suavitel 500 gr,2.45,2.18,Suavisantes
915,,suavitel tira,0.52,0.38,Suavisantes
599,,suvisante alive 180 ml,0.68,0.56,Suavisantes
